,Mã lớp,Mã HP,Tên HP,Ghi chú,Nhóm,Đợt,Tuần,Thứ,Ngày thi,Kíp thi,SLĐK,Phòng thi,Mã lớp Mã HP,Unnamed: 0,Tên HP Ghi chú,Unnamed: 1,Kíp thi Phòng thi,Unnamed: 2,Ghi chú Nhóm,Tên HP Ghi chú Nhóm
0,116532,BF2020,Technical Writing and Presentation,Sinh học-K62C,TC,AB,T45,Thứ tư,01.07.2020,Kíp 3,,D5-103,,,,,,,,
1,117235,BF2020,Technical Writing and Presentation,Thực phẩm-K62C,TC,AB,T45,Thứ tư,01.07.2020,Kíp 3,,D5-103,,,,,,,,
2,115084,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 01,02-K64S",TC,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-208,,,,,,,,
3,115084,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 01,02-K64S",Thực phẩm  02-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-208,,,,,,,,
4,115084,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 01,02-K64S",Thực phẩm  01-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-208,,,,,,,,
5,115085,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 03,04-K64S",Thực phẩm  03-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-306,,,,,,,,
6,115085,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 03,04-K64S",Thực phẩm  04-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-306,,,,,,,,
7,115085,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 03,04-K64S",TC,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-306,,,,,,,,
8,115100,BF2701,Nhập môn kỹ thuật sinh học,"Sinh học 01,02-K64S",Kỹ thuật sinh học  02-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-407,,,,,,,,
9,115100,BF2701,Nhập môn kỹ thuật sinh học,"Sinh học 01,02-K64S",Kỹ thuật sinh học  01-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-407,,,,,,,,
10,116511,BF2702,Hóa sinh,Sinh học-K63S,Nhóm 1,AB,T45,Thứ tư,01.07.2020,Kíp 4,,D5-103,,,,,,,,
11,116511,BF2702,Hóa sinh,Sinh học-K63S,Nhóm 2,AB,T45,Thứ tư,01.07.2020,Kíp 4,,D5-103,,,,,,,,
12,694227,BF2703,Thí nghiệm hóa sinh,N1,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-305,,,,,,,,
13,694228,BF2703,Thí nghiệm hóa sinh,N2,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-305,,,,,,,,
14,694229,BF2703,Thí nghiệm hóa sinh,N3,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-305,,,,,,,,
15,694230,BF2703,Thí nghiệm hóa sinh,N4,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-305,,,,,,,,
16,694231,BF2703,Thí nghiệm hóa sinh,N5,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-305,,,,,,,,
17,696184,BF3017,Đồ án I – Quá trình và thiết bị,Liên hệ giáo vụ,TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D9-202,,,,,,,,
18,116512,BF3507,Hoá sinh,Thực phẩm-K63S,Nhóm 2,AB,T45,Thứ tư,01.07.2020,Kíp 4,,D5-104,,,,,,,,
19,116512,BF3507,Hoá sinh,Thực phẩm-K63S,Nhóm 1,AB,T45,Thứ tư,01.07.2020,Kíp 4,,D5-104,,,,,,,,
20,116513,BF3507,Hoá sinh,Thực phẩm-K63S,TC,AB,T45,Thứ tư,01.07.2020,Kíp 4,,D5-203,,,,,,,,
21,116514,BF3507,Hoá sinh,Thực phẩm-K63S,Nhóm 1,AB,T45,Thứ tư,01.07.2020,Kíp 4,,D5-204,,,,,,,,
22,116514,BF3507,Hoá sinh,Thực phẩm-K63S,Nhóm 2,AB,T45,Thứ tư,01.07.2020,Kíp 4,,D5-204,,,,,,,,
23,694220,BF3508,Thí nghiệm hóa sinh,N1,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-304,,,,,,,,
24,694221,BF3508,Thí nghiệm hóa sinh,N2,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-304,,,,,,,,
25,694222,BF3508,Thí nghiệm hóa sinh,N3,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-304,,,,,,,,
26,694223,BF3508,Thí nghiệm hóa sinh,N4,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-306,,,,,,,,
27,694224,BF3508,Thí nghiệm hóa sinh,N5,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-306,,,,,,,,
28,694225,BF3508,Thí nghiệm hóa sinh,N6,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-306,,,,,,,,
29,694226,BF3508,Thí nghiệm hóa sinh,N7,TC,B,T47,Thứ hai,13.07.2020,Kíp 1,,D9-306,,,,,,,,
30,116522,BF3513,Công nghệ thực phẩm đại cương,Thực phẩm-K62C,Nhóm 1,AB,T46,Thứ năm,09.07.2020,Kíp 4,,D9-305,,,,,,,,
31,116522,BF3513,Công nghệ thực phẩm đại cương,Thực phẩm-K62C,Nhóm 2,AB,T46,Thứ năm,09.07.2020,Kíp 4,,D9-305,,,,,,,,
32,116523,BF3513,Công nghệ thực phẩm đại cương,Thực phẩm-K62C,TC,AB,T46,Thứ năm,09.07.2020,Kíp 4,,D9-304,,,,,,,,
33,116524,BF3514,Dinh dưỡng,Thực phẩm - nhóm 1-K62C,Nhóm 2,AB,T45,Thứ hai,29.06.2020,Kíp 4,,D3-101,,,,,,,,
34,116524,BF3514,Dinh dưỡng,Thực phẩm - nhóm 1-K62C,Nhóm 1,AB,T45,Thứ hai,29.06.2020,Kíp 4,,D3-101,,,,,,,,
35,116525,BF3514,Dinh dưỡng,Thực phẩm - nhóm 2-K62C,TC,AB,T45,Thứ hai,29.06.2020,Kíp 4,,D3-201,,,,,,,,
36,116526,BF3514,Dinh dưỡng,Thực phẩm - nhóm 3-K62C,TC,AB,T45,Thứ hai,29.06.2020,Kíp 4,,D3-201,,,,,,,,
37,116527,BF3515,An toàn thực phẩm,Thực phẩm - nhóm 1-K62C,TC,AB,T46,Thứ hai,06.07.2020,Kíp 3,,D5-103,,,,,,,,
38,116528,BF3515,An toàn thực phẩm,Thực phẩm - nhóm 2-K62C,TC,AB,T46,Thứ hai,06.07.2020,Kíp 3,,D5-104,,,,,,,,
39,116529,BF3515,An toàn thực phẩm,Thực phẩm - nhóm 3-K62C,TC,AB,T46,Thứ hai,06.07.2020,Kíp 3,,D5-105,,,,,,,,
40,116521,BF3522,Vật lý học Thực phẩm,Thực phẩm-K62C,TC,AB,T46,Thứ ba,07.07.2020,Kíp 2,,D5-103,,,,,,,,
41,116530,BF3524,Phương pháp đánh giá chất lượng thực phẩm,Thực phẩm - nhóm 1-K62C,Nhóm 1,AB,T46,Thứ sáu,10.07.2020,Kíp 3,,"D3,5-201",,,,,,,,
42,116530,BF3524,Phương pháp đánh giá chất lượng thực phẩm,Thực phẩm - nhóm 1-K62C,Nhóm 2,AB,T46,Thứ sáu,10.07.2020,Kíp 3,,"D3,5-201",,,,,,,,
43,116531,BF3524,Phương pháp đánh giá chất lượng thực phẩm,Thực phẩm - nhóm 2-K62C,Nhóm 1,AB,T46,Thứ sáu,10.07.2020,Kíp 3,,"D3,5-301",,,,,,,,
44,,,,,Nhóm 2,AB,T46,Thứ sáu,10.07.2020,,,,116531 BF3524,,Phương pháp đánh giá chất lượng thực phẩm Thực phẩm - nhóm 2-K62C,,"Kíp 3 D3,5-301",,,
45,,,,,Nhóm 1,AB,T47,Thứ năm,16.07.2020,,,,116536 BF3525,,Quản lý chất lượng trong công nghiệp thực phẩm Thực phẩm-K62C,,Kíp 3 D6-208,,,
46,,,,,Nhóm 2,AB,T47,Thứ năm,16.07.2020,,,,116536 BF3525,,Quản lý chất lượng trong công nghiệp thực phẩm Thực phẩm-K62C,,Kíp 3 D6-208,,,
47,,,,,Nhóm 2,AB,T46,Thứ tư,08.07.2020,,,,116504 BF3531,,Quá trình và thiết bị CNTP I Thực phẩm-K63S,,Kíp 4 D9-106,,,
48,,,,,Nhóm 1,AB,T46,Thứ tư,08.07.2020,,,,116504 BF3531,,Quá trình và thiết bị CNTP I Thực phẩm-K63S,,Kíp 4 D9-106,,,
49,,,,,Nhóm 1,AB,T46,Thứ tư,08.07.2020,,,,116505 BF3531,,Quá trình và thiết bị CNTP I Thực phẩm-K63S,,Kíp 4 D9-101,,,
50,,,,,Nhóm 2,AB,T46,Thứ tư,08.07.2020,,,,116505 BF3531,,Quá trình và thiết bị CNTP I Thực phẩm-K63S,,Kíp 4 D9-101,,,
51,,,,,TC,AB,T46,Thứ tư,08.07.2020,,,,116506 BF3531,,Quá trình và thiết bị CNTP I Thực phẩm-K63S,,Kíp 4 D9-101,,,
52,,,,,TC,AB,T47,Thứ tư,15.07.2020,,,,116533 BF3534,,Kỹ thuật đo lường và lý thuyết điều khiển tự động trong CNTP Thực phẩm - nhóm 1-K62C,,Kíp 3 D5-103,,,
53,,,,,TC,AB,T47,Thứ tư,15.07.2020,,,,116534 BF3534,,Kỹ thuật đo lường và lý thuyết điều khiển tự động trong CNTP Thực phẩm - nhóm 2-K62C,,Kíp 3 D5-104,,,
54,,,,,TC,AB,T47,Thứ tư,15.07.2020,,,,116535 BF3534,,Kỹ thuật đo lường và lý thuyết điều khiển tự động trong CNTP Thực phẩm - nhóm 3-K62C,,Kíp 3 D5-101,,,
55,,,,,Nhóm 2,AB,T46,Thứ bảy,11.07.2020,,,,696198 BF3536,,Đồ án I - Quá trình và thiết bị CNTP Liên hệ giáo vụ,,Kíp 1-4 D6-208,,,
56,,,,,Nhóm 3,AB,T46,Thứ bảy,11.07.2020,,,,696198 BF3536,,Đồ án I - Quá trình và thiết bị CNTP Liên hệ giáo vụ,,Kíp 1-4 D6-208,,,
57,,,,,Nhóm 1,AB,T46,Thứ bảy,11.07.2020,,,,696198 BF3536,,Đồ án I - Quá trình và thiết bị CNTP Liên hệ giáo vụ,,Kíp 1-4 D6-208,,,
58,,,,,Nhóm 1,B,T46,Thứ hai,06.07.2020,,,,116517 BF3706,,Kỹ thuật gen Sinh học-K62C,,Kíp 3 D5-203,,,
59,,,,,Nhóm 2,B,T46,Thứ hai,06.07.2020,,,,116517 BF3706,,Kỹ thuật gen Sinh học-K62C,,Kíp 3 D5-203,,,
60,,,,,TC,B,T46,Thứ sáu,10.07.2020,,,,116518 BF3707,,Tin sinh học Sinh học-K62C,,"Kíp 3 D3,5-401",,,
61,,,,,Nhóm 1,AB,T47,Thứ năm,16.07.2020,,,,116519 BF3708,,Phương pháp phân tích trong CNSH Sinh học-K62C,,Kíp 3 D6-306,,,
62,,,,,Nhóm 2,AB,T47,Thứ năm,16.07.2020,,,,116519 BF3708,,Phương pháp phân tích trong CNSH Sinh học-K62C,,Kíp 3 D6-306,,,
63,,,,,Nhóm 1,AB,T46,Thứ tư,08.07.2020,,,,116503 BF3711,,Quá trình và thiết bị CNSH I Sinh học-K63S,,Kíp 4 D9-306,,,
64,,,,,Nhóm 2,AB,T46,Thứ tư,08.07.2020,,,,116503 BF3711,,Quá trình và thiết bị CNSH I Sinh học-K63S,,Kíp 4 D9-306,,,
65,,,,,TC,AB,T47,Thứ sáu,17.07.2020,,,,116520 BF3713,,Quá trình và thiết bị CNSH III Sinh học-K62C,,Kíp 3 D5-203,,,
66,,,,,,AB,T47,Thứ năm,16.07.2020,,,,696199 BF3714,,Đồ án quá trình và thiết bị CNSH Liên hệ giáo vụ,,Kíp 1-2 D5-102,TC,,
67,,,,,,AB,T47,Thứ tư,15.07.2020,,,,696186 BF3817,,Đồ án I - Quá trình thiết bị Liên hệ giáo vụ,,Kíp 1 D9-202,TC,,
68,,,,,,AB,T47,Thứ năm,16.07.2020,,,,116553 BF4152,,Công nghệ vi sinh vật Sinh học-K61C,,Kíp 1 D3-402,TC,,
69,,,,,,AB,T46,Thứ tư,08.07.2020,,,,116550 BF4155,,Kỹ thuật thu nhận hợp chất có hoạt tính sinh học từ thực vật Sinh học-K61C,,Kíp 2 D5-201,TC,,
70,,,,,,AB,T45,Thứ hai,29.06.2020,,,,116542 BF4174,,Công nghệ sản phẩm lên men Sinh học-K61S,,Kíp 2 D8-408,TC,,
71,,,,,,AB,T45,Thứ tư,01.07.2020,,,,116543 BF4175,,Công nghệ sinh khối vi sinh vật Sinh học-K61S,,Kíp 2 D5-103,TC,,
72,,,,,,B,T45,Thứ tư,01.07.2020,,,,116557 BF4313,,Phân tích thành phần lý hóa thực phẩm QLCL-K61C,,Kíp 2 D5-503,TC,,
73,,,,,,AB,T45,Thứ hai,29.06.2020,,,,116562 BF4412,,Điều khiển tự động các quá trình công nghệ thực phẩm QTTBCNTP-K61C,,Kíp 2 D8-201,TC,,
74,,,,,,AB,T47,Thứ hai,13.07.2020,,,,116546 BF5011,,Tối ưu hoá quá trình và tổ chức sản xuất Sinh học - Thực phẩm-K61C,,Kíp 4 D5-202,TC,,
75,,,,,,AB,T47,Thứ ba,14.07.2020,,,,116547 BF5020,,Cơ sở lập dự án và thiết kế nhà máy Sinh học - Thực phẩm-K61C,,Kíp 2 D5-103,TC,,
76,,,,,,AB,T47,Thứ ba,14.07.2020,,,,116548 BF5020,,Cơ sở lập dự án và thiết kế nhà máy Sinh học - Thực phẩm-K61C,,Kíp 2 D5-104,Nhóm 1,,
77,,,,,,AB,T47,Thứ ba,14.07.2020,,,,116548 BF5020,,Cơ sở lập dự án và thiết kế nhà máy Sinh học - Thực phẩm-K61C,,Kíp 2 D5-104,Nhóm 2,,
78,,,,,,AB,T45,Thứ sáu,03.07.2020,,,,116539 BF5111,,Công nghệ vắc xin Sinh học-K61S,,Kíp 2 D5-105,TC,,
79,,,,,,AB,T46,Thứ hai,06.07.2020,,,,116545 BF5112,,Kỹ thuật sinh học xử lý chất thải rắn Sinh học-K61S,,Kíp 2 D3-402,TC,,
80,,,,,,AB,T46,Thứ sáu,10.07.2020,,,,116540 BF5133,,Kỹ thuật sinh học xử lý nước thải Sinh học-K61S,,Kíp 2 D5-101,TC,,
81,,,,,,AB,T47,Thứ sáu,17.07.2020,,,,116537 BF5140,,Công nghệ lên men các hợp chất kháng sinh Sinh học-K61S,,Kíp 2 D5-201,TC,,
82,,,,,,AB,T47,Thứ hai,13.07.2020,,,,116538 BF5151,,Công nghệ axit amin Sinh học-K61S,,Kíp 2 D5-103,TC,,
83,,,,,,AB,T47,Thứ tư,15.07.2020,,,,116541 BF5160,,Công nghệ sản xuất các axit và dung môi hữu cơ Sinh học-K61S,,Kíp 2 D5-103,Nhóm 1,,
84,,,,,,AB,T47,Thứ tư,15.07.2020,,,,116541 BF5160,,Công nghệ sản xuất các axit và dung môi hữu cơ Sinh học-K61S,,Kíp 2 D5-103,Nhóm 2,,
85,,,,,,AB,T45,Thứ năm,02.07.2020,,,,116556 BF5210,,"Thông gió, hút bụi và điều hòa không khí CNTP-K61C",,Kíp 2 D6-302,TC,,
86,,,,,,AB,T45,Thứ hai,29.06.2020,,,,116566 BF5220,,Công nghệ malt và bia Thực phẩm-K61S,,Kíp 2 D8-203,TC,,
87,,,,,,AB,T45,Thứ tư,01.07.2020,,,,116572 BF5240,,Công nghệ rượu vang Thực phẩm-K61S,,Kíp 2 D5-504,TC,,
88,,,,,,AB,T45,Thứ sáu,03.07.2020,,,,116568 BF5260,,Công nghệ thịt Thực phẩm-K61S,,Kíp 2 D5-101,TC,,
89,,,,,,AB,T47,Thứ sáu,17.07.2020,,,,117248 BF5280,,Công nghệ  thuỷ sản Thực phẩm - K61S,,Kíp 2 D5-202,TC,,
90,,,,,,AB,T47,Thứ ba,14.07.2020,,,,116570 BF5290,,Công nghệ chè Thực phẩm-K61S,,Kíp 2 D5-201,TC,,
91,,,,,,AB,T46,Thứ hai,06.07.2020,,,,116559 BF5310,,Phân tích nhanh chất lượng TP QLCL-K61C,,Kíp 2 D3-403,TC,,
92,,,,,,AB,T46,Thứ sáu,10.07.2020,,,,116560 BF5320,,Kiểm định nguồn gốc thực phẩm  QLCL-K61C,,Kíp 2 D5-102,TC,,
93,,,,,,AB,T45,Thứ sáu,03.07.2020,,,,117247 BF5330,,Quản lý chất lượng toàn diện chuỗi cung ứng TP Thực phẩm - K61C,,Kíp 2 D5-102,TC,,
94,,,,,,AB,T46,Thứ tư,08.07.2020,,,,116554 BF5350,,"Thiết kế đảm bảo vệ sinh trong công nghiệp thực phẩm  CNTP,QLCL-K61C",,Kíp 2 D5-203,Nhóm 1,,
95,,,,,,AB,T46,Thứ tư,08.07.2020,,,,116554 BF5350,,"Thiết kế đảm bảo vệ sinh trong công nghiệp thực phẩm  CNTP,QLCL-K61C",,Kíp 2 D5-203,Nhóm 2,,
96,,,,,,AB,T47,Thứ năm,16.07.2020,,,,116561 BF5360,,Tin học ứng dụng trong QLCL QLCL-K61C,,Kíp 2 D9-105,TC,,
97,,,,,,AB,T46,Thứ sáu,10.07.2020,,,,116567 BF5410,,Công nghệ cà phê và ca cao Thực phẩm-K61S,,Kíp 2 D5-201,TC,,
98,,,,,,AB,T47,Thứ tư,15.07.2020,,,,116571 BF5460,,Công nghê rau quả Thực phẩm-K61S,,Kíp 2 D5-102,TC,,
99,,,,,,AB,T47,Thứ sáu,17.07.2020,,,,116569 BF5480,,Công nghệ bánh kẹo Thực phẩm-K61S,,Kíp 2 D5-203,TC,,
100,,,,,,AB,T47,Thứ hai,13.07.2020,,,,697305 BF5510,,Đồ án chuyên ngành II Liên hệ giáo vụ,,Kíp 1-2 D5-202,TC,,
101,,,,,,AB,T45,Thứ sáu,03.07.2020,,,,116565 BF5530,,"Thiết kế thiết bị truyền nhiệt, chuyển khối trong sản xuất thực phẩm QTTBCNTP-K61C",,Kíp 2 D5-201,TC,,
102,,,,,,AB,T46,Thứ tư,08.07.2020,,,,116563 BF5550,,Trang thiết bị điện cho Máy thực phẩm QTTBCNTP-K61C,,Kíp 2 D5-202,TC,,
103,,,,,,AB,T47,Thứ tư,15.07.2020,,,,116564 BF5580,,Thiết kế hệ thống Bơm quạt máy nén QTTBCNTP-K61C,,Kíp 2 D5-201,TC,,
104,,,,,,B,T46,Thứ ba,07.07.2020,,,,117249 BF5681,,Thực phẩm biến đổi gen Thực phẩm - K61C,,Kíp 2 D5-102,TC,,
105,,,,,,AB,T47,Thứ ba,14.07.2020,,,,116555 BF5682,,"Thực phẩm chức năng CNTP,QLCL-K61C",,Kíp 3 D5-201,TC,,
106,,,,,,AB,T47,Thứ tư,15.07.2020,,,,115101 CH1012,,Hóa học 1 Hóa học 1-K64S,,Kíp 1 D3-101,Hóa học  01-K64,,
107,,,,,,AB,T47,Thứ tư,15.07.2020,,,,115101 CH1012,,Hóa học 1 Hóa học 1-K64S,,Kíp 1 D3-101,TC,,
108,,,,,,AB,T47,Thứ tư,15.07.2020,,,,115102 CH1012,,Hóa học 1 Hóa học 2- CTTN hóa dược-K64S,,Kíp 1 D3-201,TC,,
109,,,,,,AB,T47,Thứ tư,15.07.2020,,,,115102 CH1012,,Hóa học 1 Hóa học 2- CTTN hóa dược-K64S,,Kíp 1 D3-201,Hóa học  02-K64,,
110,115102,CH1012,Hóa học 1,Hóa học 2- CTTN hóa dược-K64S,CTTN-Hóa dược-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-201,,,,,,,,
111,115135,CH1012,Hóa học 1,"KTHH 01,02,03 (nhóm 1/2)-K64S",Kỹ thuật hóa học  01-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-301,,,,,,,,
112,115135,CH1012,Hóa học 1,"KTHH 01,02,03 (nhóm 1/2)-K64S",Kỹ thuật hóa học  03-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-301,,,,,,,,
113,115135,CH1012,Hóa học 1,"KTHH 01,02,03 (nhóm 1/2)-K64S",TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-301,,,,,,,,
114,115136,CH1012,Hóa học 1,"KTHH 01,02,03 (nhóm 2/2)-K64S",TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-401,,,,,,,,
115,115136,CH1012,Hóa học 1,"KTHH 01,02,03 (nhóm 2/2)-K64S",Kỹ thuật hóa học  02-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-401,,,,,,,,
116,115136,CH1012,Hóa học 1,"KTHH 01,02,03 (nhóm 2/2)-K64S",Kỹ thuật hóa học  03-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-401,,,,,,,,
117,115137,CH1012,Hóa học 1,KTHH 04-K64S,Kỹ thuật hóa học  04-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-402,,,,,,,,
118,115137,CH1012,Hóa học 1,KTHH 04-K64S,TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-401,,,,,,,,
119,115150,CH1012,Hóa học 1,"KTHH 08,09,10 (1/2)-K64S",TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-501,,,,,,,,
120,115150,CH1012,Hóa học 1,"KTHH 08,09,10 (1/2)-K64S",Kỹ thuật hóa học  10-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-501,,,,,,,,
121,115150,CH1012,Hóa học 1,"KTHH 08,09,10 (1/2)-K64S",Kỹ thuật hóa học  08-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D3-501,,,,,,,,
122,115151,CH1012,Hóa học 1,"KTHH 08,09,10 (2/2)-K64S",TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-201",,,,,,,,
123,115151,CH1012,Hóa học 1,"KTHH 08,09,10 (2/2)-K64S",Kỹ thuật hóa học  10-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-201",,,,,,,,
124,115151,CH1012,Hóa học 1,"KTHH 08,09,10 (2/2)-K64S",Kỹ thuật hóa học  09-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-201",,,,,,,,
125,115166,CH1012,Hóa học 1,"KTHH 05,06,07 (nhóm 1/2)-K64S",TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-301",,,,,,,,
126,115166,CH1012,Hóa học 1,"KTHH 05,06,07 (nhóm 1/2)-K64S",Kỹ thuật hóa học  07-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-301",,,,,,,,
127,115166,CH1012,Hóa học 1,"KTHH 05,06,07 (nhóm 1/2)-K64S",Kỹ thuật hóa học  05-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-301",,,,,,,,
128,115167,CH1012,Hóa học 1,"KTHH 05,06,07 (nhóm 2/2)-K64S",Kỹ thuật hóa học  07-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-401",,,,,,,,
129,115167,CH1012,Hóa học 1,"KTHH 05,06,07 (nhóm 2/2)-K64S",Kỹ thuật hóa học  06-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-401",,,,,,,,
130,115167,CH1012,Hóa học 1,"KTHH 05,06,07 (nhóm 2/2)-K64S",TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-401",,,,,,,,
131,115259,CH1012,Hóa học 1,Vật liệu (nhóm 1/4)-K64S,Vật liệu  01-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-501",,,,,,,,
132,115259,CH1012,Hóa học 1,Vật liệu (nhóm 1/4)-K64S,Vật liệu  02-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-501",,,,,,,,
133,115259,CH1012,Hóa học 1,Vật liệu (nhóm 1/4)-K64S,TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,"D3,5-501",,,,,,,,
134,115260,CH1012,Hóa học 1,Vật liệu (nhóm 2/4)-K64S,Vật liệu  03-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D9-105,,,,,,,,
135,115260,CH1012,Hóa học 1,Vật liệu (nhóm 2/4)-K64S,Vật liệu  02-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D9-105,,,,,,,,
136,115260,CH1012,Hóa học 1,Vật liệu (nhóm 2/4)-K64S,TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D9-105,,,,,,,,
137,115261,CH1012,Hóa học 1,Vật liệu (nhóm 3/4)-K64S,TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D9-106,,,,,,,,
138,115261,CH1012,Hóa học 1,Vật liệu (nhóm 3/4)-K64S,Vật liệu  04-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D9-106,,,,,,,,
139,115261,CH1012,Hóa học 1,Vật liệu (nhóm 3/4)-K64S,Vật liệu  03-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D9-106,,,,,,,,
140,115262,CH1012,Hóa học 1,Vật liệu (nhóm 4/4)-K64S,TC,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D9-205,,,,,,,,
141,115262,CH1012,Hóa học 1,Vật liệu (nhóm 4/4)-K64S,Vật liệu  04-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D9-205,,,,,,,,
142,115262,CH1012,Hóa học 1,Vật liệu (nhóm 4/4)-K64S,Vật liệu  05-K64,AB,T47,Thứ tư,15.07.2020,Kíp 1,,D9-205,,,,,,,,
143,114711,CH1016,Hoá học đại cương,**CTTT Cơ ĐT- KT vật liệu (nhóm 1)-K63C,TC,AB,T47,Thứ tư,15.07.2020,Kíp 4,,D5-103,,,,,,,,
144,114712,CH1016,Hoá học đại cương,**CTTT Cơ ĐT- KT vật liệu (nhóm 2)-K63C,TC,AB,T47,Thứ tư,15.07.2020,Kíp 4,,D5-103,,,,,,,,
145,115066,CH1017,Hoá học,Dệt may 01-K64S,Dệt May 01-K64,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-101,,,,,,,,
146,115066,CH1017,Hoá học,Dệt may 01-K64S,TC,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-101,,,,,,,,
147,115067,CH1017,Hoá học,Dệt may 02-K64S,TC,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-101,,,,,,,,
148,115067,CH1017,Hoá học,Dệt may 02-K64S,Dệt May 02-K64,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-201,,,,,,,,
149,115068,CH1017,Hoá học,Dệt may 03-K64S,TC,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-301,,,,,,,,
150,115068,CH1017,Hoá học,Dệt may 03-K64S,Dệt May 03-K64,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-301,,,,,,,,
151,115069,CH1017,Hoá học,Dệt may 04-K64S,Dệt May 04-K64,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-201,,,,,,,,
152,115069,CH1017,Hoá học,Dệt may 04-K64S,TC,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-301,,,,,,,,
153,115117,CH1017,Hoá học,KT in-K64S,KT in  01-K64,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-402,,,,,,,,
154,115117,CH1017,Hoá học,KT in-K64S,TC,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-402,,,,,,,,
155,115118,CH1018,Hoá học,"Môi trường 01,02,03 (nhóm 1/2)-K64S",Môi trường  01-K64,AB,T47,Thứ tư,15.07.2020,Kíp 2,,D3-501,,,,,,,,
